epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1136.95,2.07144,3.55181,2.25221,0.20844,0.13333,0.09761,0.03249,2.42301,5.65604,2.47808,0.000662474,0.000662474,0.000662474
2,2183.14,2.14334,2.57751,2.34331,0.33693,0.22029,0.17881,0.06436,2.42537,5.54272,2.46465,0.00119756,0.00119756,0.00119756
3,3210.06,2.09923,2.52803,2.28696,0.35314,0.18841,0.15751,0.05554,2.50009,2.89015,2.4482,0.00160064,0.00160064,0.00160064
4,4232.96,2.02963,2.35082,2.20796,0.35276,0.30016,0.2726,0.1143,2.15798,2.69177,2.15172,0.001406,0.001406,0.001406
5,5256.34,1.9475,2.19646,2.1158,0.41371,0.31703,0.28458,0.11459,2.16421,2.42955,2.18428,0.001208,0.001208,0.001208
6,6276.36,1.88721,2.06612,2.05167,0.4457,0.3913,0.34671,0.14188,2.11233,2.1652,2.02974,0.00101,0.00101,0.00101
7,7297.97,1.81472,1.93535,1.95748,0.5787,0.38841,0.44621,0.20114,1.91702,1.95138,1.85814,0.000812,0.000812,0.000812
8,8319.52,1.77302,1.86288,1.92708,0.58003,0.40433,0.45259,0.21361,1.9152,1.89836,1.8457,0.000614,0.000614,0.000614
9,9341.18,1.72136,1.77701,1.87695,0.59077,0.43518,0.48936,0.23063,1.87074,1.8111,1.81318,0.000416,0.000416,0.000416
10,10365.3,1.67599,1.67091,1.83958,0.6068,0.48406,0.52371,0.25449,1.80917,1.74418,1.7809,0.000218,0.000218,0.000218
